hwid,name,available,location,description,brand,model,os,type
33,Nokia N90,t,cologne,Handy\  n\nZubehör:\n   * Akku (Kein Deckel)\n   * Netzteil\n   * USB Kabel,Nokia,N90,Series60 2.0,mobile
25,Nokia 6500c,t,cologne,Handy (Kein WLAN)\n\nDer Opera Mini Browser nennt sich web n' walk direkt auf dem Hauptbildschirm.\nDer "Build-In" Browser ist unter Menü->Internet\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladekabel,Unspecified,Mobile,Mobile OS 0.0,mobile
78,Palm Treo 750v,t,cologne,Handy\n\nZubehör:\n- Akku\n- Deckel\n- Stift\n- Aufladegerät,Palm,Treo 750v,Windows Mobile 5.0,mobile
8,Philips 32 PFL 9604H,t,cologne,Fernseher,Unspecified,TV,TV Mips 0.0,tv
28,Nokia N70,t,cologne,Handy. Stecker vom Ladegerät ist defekt (gebogen).\n\nKein WLAN\n\nZubehör:\n   * Deckel\n   * Akku\n   * Netzteil,Nokia,N70,Series60 2.8,mobile
562,Apple iPad Mini 2,t,cologne,Tablet. WLAN-Unterstützung.\n\nSerien-Nummer: DQTLP2MWFCM8\nUDID: 0ece448b3972a9c5fac244dfbaa310de38f22a00\nEntsperrungscode: 8809\n\nZubehör:\n- Tablet\n- USB-Kabel\n- Stromnetzstecker\n- Stromnetzstecker-Adapter,Apple,iPad,iOS 7.03,tablet
11,Palm Pre,t,cologne,Unser erstes Palm Pre. Firmware: webOS/1.4.0; WLAN-Unterstützung;\nBestandteile:\n- Akku\n- Deckel\n- Strom-Netzadapter\n- Datenkabel,HP Palm,Pre,webOS 1.45,mobile
7,Sony Playstation 3,t,cologne,Spielkonsole\n\nBox:\n\n- Konsole\n- HDMI - Kabel\n- Controller\n- USB - Aufladekabel\n- Videokabel + Adapter\n- Stromnetzkabel\n- Anleitung,Sony,Playstation 3,PlayStation System Software 0.0,console
60,Sony Ericsson W900i,t,cologne,Handy\n\nBestandteile:\n- Deckel\n- Akku\n- Datenkabel\n,Sony Ericsson,W900i,W Series 9.0,mobile
43,Nokia 6710,t,cologne,Handy; WLAN-Unterstützung\n\nZubehör:\n   1: Klappe\n   2: Akku\n   3: Kabel (USB)\n   4: Netzteil,Nokia,6710 Navigator,Series60 3.2,mobile
